R,Theta,Z,E_kin, Vsplit_x, Vsplit_y, Vsplit_z
0.318, -0.69813170079, 0.00, 100, 1, 0, 1
0.320, -0.69813170079, 0.00, 100, 1, 0, 1
0.322, -0.69813170079, 0.00, 100, 1, 0, 1
0.324, -0.69813170079, 0.00, 100, 1, 0, 1
0.326, -0.69813170079, 0.00, 100, 1, 0, 1
0.328, -0.69813170079, 0.00, 100, 1, 0, 1
0.330, -0.69813170079, 0.00, 100, 1, 0, 1
0.332, -0.69813170079, 0.00, 100, 1, 0, 1
0.334, -0.69813170079, 0.00, 100, 1, 0, 1
0.336, -0.69813170079, 0.00, 100, 1, 0, 1
0.337, -0.69813170079, 0.00, 100, 1, 0, 1
0.338, -0.69813170079, 0.00, 100, 1, 0, 1
0.318, -0.52359877559, 0.00, 100, 1, 0, 1
0.320, -0.52359877559, 0.00, 100, 1, 0, 1
0.322, -0.52359877559, 0.00, 100, 1, 0, 1
0.324, -0.52359877559, 0.00, 100, 1, 0, 1
0.326, -0.52359877559, 0.00, 100, 1, 0, 1
0.328, -0.52359877559, 0.00, 100, 1, 0, 1
0.330, -0.52359877559, 0.00, 100, 1, 0, 1
0.332, -0.52359877559, 0.00, 100, 1, 0, 1
0.334, -0.52359877559, 0.00, 100, 1, 0, 1
0.336, -0.52359877559, 0.00, 100, 1, 0, 1
0.337, -0.52359877559, 0.00, 100, 1, 0, 1
0.338, -0.52359877559, 0.00, 100, 1, 0, 1
0.318, -0.34906585039, 0.00, 100, 1, 0, 1
0.320, -0.34906585039, 0.00, 100, 1, 0, 1
0.322, -0.34906585039, 0.00, 100, 1, 0, 1
0.324, -0.34906585039, 0.00, 100, 1, 0, 1
0.326, -0.34906585039, 0.00, 100, 1, 0, 1
0.328, -0.34906585039, 0.00, 100, 1, 0, 1
0.330, -0.34906585039, 0.00, 100, 1, 0, 1
0.332, -0.34906585039, 0.00, 100, 1, 0, 1
0.334, -0.34906585039, 0.00, 100, 1, 0, 1
0.336, -0.34906585039, 0.00, 100, 1, 0, 1
0.337, -0.34906585039, 0.00, 100, 1, 0, 1
0.338, -0.34906585039, 0.00, 100, 1, 0, 1
