R,Theta,Z,E_kin, Vsplit_x, Vsplit_y, Vsplit_z
0.33, -0.7853981633974483, 0.0, 100.0, 1, 0, 1
0.33, -0.767944870877505, 0.0, 100.0, 1, 0, 1
0.33, -0.7504915783575618, 0.0, 100.0, 1, 0, 1
0.33, -0.7330382858376184, 0.0, 100.0, 1, 0, 1
0.33, -0.7155849933176751, 0.0, 100.0, 1, 0, 1
0.33, -0.6981317007977318, 0.0, 100.0, 1, 0, 1
0.33, -0.6806784082777886, 0.0, 100.0, 1, 0, 1
0.33, -0.6632251157578453, 0.0, 100.0, 1, 0, 1
0.33, -0.6457718232379019, 0.0, 100.0, 1, 0, 1
0.33, -0.6283185307179586, 0.0, 100.0, 1, 0, 1
0.33, -0.6108652381980153, 0.0, 100.0, 1, 0, 1
0.33, -0.593411945678072, 0.0, 100.0, 1, 0, 1
0.33, -0.5759586531581287, 0.0, 100.0, 1, 0, 1
0.33, -0.5585053606381855, 0.0, 100.0, 1, 0, 1
0.33, -0.5410520681182421, 0.0, 100.0, 1, 0, 1
0.33, -0.5235987755982988, 0.0, 100.0, 1, 0, 1
0.33, -0.5061454830783556, 0.0, 100.0, 1, 0, 1
0.33, -0.4886921905584123, 0.0, 100.0, 1, 0, 1
0.33, -0.47123889803846897, 0.0, 100.0, 1, 0, 1
0.33, -0.45378560551852565, 0.0, 100.0, 1, 0, 1
0.33, -0.4363323129985824, 0.0, 100.0, 1, 0, 1
0.33, -0.41887902047863906, 0.0, 100.0, 1, 0, 1
0.33, -0.40142572795869574, 0.0, 100.0, 1, 0, 1
0.33, -0.3839724354387525, 0.0, 100.0, 1, 0, 1
0.33, -0.3665191429188092, 0.0, 100.0, 1, 0, 1
0.33, -0.3490658503988659, 0.0, 100.0, 1, 0, 1
0.33, -0.33161255787892263, 0.0, 100.0, 1, 0, 1
0.33, -0.3141592653589793, 0.0, 100.0, 1, 0, 1
0.33, -0.296705972839036, 0.0, 100.0, 1, 0, 1
